Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier
Abandoned Desert Village,Geodude,74,1,1,1,10,14,Everstone,0,Common
Abandoned Desert Village,Houndour,228,0,0,1,10,14,,0,Rare
Abandoned Desert Village,Lillipup,506,1,1,1,10,14,,1,Uncommon
Abandoned Desert Village,Machop,66,0,1,0,10,14,Focus Band,0,Common
Abandoned Desert Village,Makuhita,296,1,1,1,10,14,Black Belt,0,Uncommon
Abandoned Desert Village,Sandshrew,27,1,1,1,10,14,Quick Claw,0,Common
Abandoned Desert Village,Trapinch,328,1,1,0,10,14,,0,Rare
Acuity Lakefront,Machoke,67,1,1,1,35,36,Payapa Berry,0,Common
Acuity Lakefront,Meditite,307,1,1,1,39,39,Expert Belt,0,Rare
Acuity Lakefront,Sneasel,215,1,1,1,35,39,Razor Claw,0,Uncommon
Acuity Lakefront,Snorunt,361,1,1,1,35,39,Babiri Berry,0,Uncommon
Acuity Lakefront,Snover,459,1,1,1,35,35,Icy Rock,1,Rare
Acuity Lakefront,Teddiursa,216,1,1,1,35,39,Sitrus Berry,0,Common
Acuity Lakefront,Ursaring,217,1,1,1,35,39,Sitrus Berry,0,Common
Acuity Lakefront,Zubat,41,1,1,1,35,39,,0,Common
Altering Cave,Aipom,190,0,1,0,12,25,,0,Uncommon
Altering Cave,Houndour,228,0,0,1,12,25,,0,Rare
Altering Cave,Mareep,179,1,1,1,12,25,,0,Common
Altering Cave,Pineco,204,1,1,0,12,25,,0,Rare
Altering Cave,Sandshrew,27,1,1,1,12,25,,0,Common
Altering Cave,Shuckle,213,1,1,1,12,25,Berry Juice,0,Rare
Altering Cave,Smeargle,235,1,0,0,12,25,,0,Rare
Altering Cave,Stantler,234,1,1,1,12,25,,0,Common
Altering Cave,Teddiursa,216,1,1,1,25,25,,0,Common
Altering Cave,Zubat,41,1,1,1,12,25,,0,Common
Alto Mare National Park,Chespin,650,1,1,1,10,15,,0,Rare
Alto Mare National Park,Ekans,23,1,1,1,10,15,,0,Common
Alto Mare National Park,Illumise,314,1,1,1,10,15,Wiki Berry,0,Uncommon
Alto Mare National Park,Lotad,270,1,1,1,10,15,Mental Herb,0,Common
Alto Mare National Park,Minccino,572,1,1,1,10,15,Shiny Stone,0,Rare
Alto Mare National Park,Pikachu,25,1,1,1,10,15,Light Ball,0,Uncommon
Alto Mare National Park,Scyther,123,1,1,1,10,15,Metal Coat,0,Rare
Alto Mare National Park,Volbeat,313,1,1,1,10,15,Figy Berry,0,Uncommon
Alto Mare National Park,Zigzagoon,263,1,1,1,10,15,Oran Berry,0,Common
Alto Mare Secret Garden,Gastly,92,0,0,1,10,11,,0,Common
Alto Mare Secret Garden,Gloom,44,1,1,1,10,15,,0,Common
Alto Mare Secret Garden,Misdreavus,200,1,1,1,10,15,Spell Tag,0,Uncommon
Alto Mare Secret Garden,Nuzleaf,274,1,1,1,10,15,Power Herb,0,Common
Alto Mare Secret Garden,Pawniard,624,1,1,1,10,15,,0,Rare
Alto Mare Secret Garden,Phantump,708,0,0,1,10,15,Spell Tag,0,Rare
Alto Mare Secret Garden,Pidgey,16,1,1,0,10,15,,0,Common
Alto Mare Secret Garden,Ponyta,77,1,1,1,10,15,,0,Uncommon
Alto Mare Secret Garden,Turtwig,387,1,1,0,10,15,,0,Rare
Amazon Forest,Aipom,190,1,1,1,10,14,,0,Uncommon
Amazon Forest,Arbok,24,1,1,0,10,14,Poison Barb,0,Common
Amazon Forest,Ekans,23,1,1,0,10,14,,0,Common
Amazon Forest,Golbat,42,0,0,1,10,14,,0,Common
